home_team_id,home_team
25907,Northampton Saints
25965,Cardiff Blues
25966,Scarlets
25926,Ulster
25924,Leinster
25917,Clermont Auvergne
25900,Gloucester Rugby
25967,Dragons
25925,Munster
25906,Newcastle Falcons
116227,Exeter Chiefs
25927,Benetton Treviso
25951,Edinburgh
25923,Connacht
25968,Ospreys
143737,Bordeaux Begles
25915,Brive
270567,Pau
25921,Stade Francais Paris
119318,La Rochelle
25901,Harlequins
25904,London Irish
25952,Glasgow Warriors
25918,Montpellier Herault
25908,Sale Sharks
25961,Sharks
25953,Bulls
25909,Saracens
167124,Zebre
25920,Perpignan
25916,Castres Olympique
99855,Racing 92
25898,Bath Rugby
143736,Lyon
25903,Leicester Tigers
25986,Toulon
25899,Bristol Rugby
25962,Stormers
25912,Bayonne
25922,Stade Toulousain
25955,Cheetahs
25905,Wasps
